name,exchange,root_ticker,GoogleFin_ticker
01 Communique Laboratory Inc.,TSX Venture Exchange,ONE,CVE:ONE
ARHT Media Inc.,TSX Venture Exchange,ART,CVE:ART
ATAC Resources Ltd.,TSX Venture Exchange,ATC,CVE:ATC
Abacus Mining & Exploration Corporation,TSX Venture Exchange,AME,CVE:AME
Abcourt Mines Inc.,TSX Venture Exchange,ABI,CVE:ABI
Abitibi Royalties Inc.,TSX Venture Exchange,RZZ,CVE:RZZ
Acasti Pharma Inc.,TSX Venture Exchange,APO,CVE:APO
AcuityAds Holdings Inc.,TSX Venture Exchange,AT,CVE:AT
Adriana Resources Inc.,TSX Venture Exchange,ADI,CVE:ADI
Advent Wireless Inc.,TSX Venture Exchange,AWI,CVE:AWI
Adventure Gold Inc.,TSX Venture Exchange,AGE,CVE:AGE
Alabama Graphite Corp.,TSX Venture Exchange,ALP,CVE:ALP
Alberta Oilsands Inc.,TSX Venture Exchange,AOS,CVE:AOS
Aldever Resources Inc.,TSX Venture Exchange,ALD,CVE:ALD
Alexandria Minerals Corporation,TSX Venture Exchange,AZX,CVE:AZX
Alloycorp Mining Inc.,TSX Venture Exchange,AVT,CVE:AVT
Almonty Industries Inc.,TSX Venture Exchange,AII,CVE:AII
Altura Energy Inc.,TSX Venture Exchange,ATU,CVE:ATU
Alvopetro Energy Ltd.,TSX Venture Exchange,ALV,CVE:ALV
Amarc Resources Ltd.,TSX Venture Exchange,AHR,CVE:AHR
Americas Petrogas Inc.,TSX Venture Exchange,BOE,CVE:BOE
AnalytixInsight Inc.,TSX Venture Exchange,ALY,CVE:ALY
Anfield Nickel Corp.,TSX Venture Exchange,ANF,CVE:ANF
Angkor Gold Corp.,TSX Venture Exchange,ANK,CVE:ANK
Anthem United Inc.,TSX Venture Exchange,AFY,CVE:AFY
Antibe Therapeutics Inc.,TSX Venture Exchange,ATE,CVE:ATE
Antioquia Gold Inc.,TSX Venture Exchange,AGD,CVE:AGD
Aphria Inc,TSX Venture Exchange,APH,CVE:APH
Apivio Systems Inc.,TSX Venture Exchange,APV,CVE:APV
Archon Minerals Limited,TSX Venture Exchange,ACS,CVE:ACS
Arena Minerals Inc.,TSX Venture Exchange,AN,CVE:AN
Arianne Phosphate Inc.,TSX Venture Exchange,DAN,CVE:DAN
Ascot Resources Ltd.,TSX Venture Exchange,AOT,CVE:AOT
Asian Television Network International Ltd,TSX Venture Exchange,SAT,CVE:SAT
Atacama Pacific Gold Corporation,TSX Venture Exchange,ATM,CVE:ATM
Athabasca Minerals Inc.,TSX Venture Exchange,ABM,CVE:ABM
Atico Mining Corporation,TSX Venture Exchange,ATY,CVE:ATY
Atlantic Gold Corporation,TSX Venture Exchange,AGB,CVE:AGB
Augyva Mining Resources Inc.,TSX Venture Exchange,AUV,CVE:AUV
Aurcana Corporation,TSX Venture Exchange,AUN,CVE:AUN
Aurora Solar Technologies Inc.,TSX Venture Exchange,ACU,CVE:ACU
Auryn Resources Inc.,TSX Venture Exchange,AUG,CVE:AUG
Avagenesis Corp.,TSX Venture Exchange,VVA,CVE:VVA
Avante Logixx Inc.,TSX Venture Exchange,XX,CVE:XX
Aveda Transportation and Energy Services,TSX Venture Exchange,AVE,CVE:AVE
Avino Silver & Gold Mines Ltd.,TSX Venture Exchange,ASM,CVE:ASM
Avivagen Inc.,TSX Venture Exchange,VIV,CVE:VIV
Bacanora Minerals Ltd.,TSX Venture Exchange,BCN,CVE:BCN
