name,exchange,root_ticker,GoogleFin_ticker
360 Capital Financial Services Group Inc.,Canadian Securities Exchange,TSZ,CNSX:TSZ
37 Capital Inc. ,Canadian Securities Exchange,JJJ,CNSX:JJJ
AAN Ventures Inc. ,Canadian Securities Exchange,ANN,CNSX:ANN
Abattis Bioceuticals Corp. ,Canadian Securities Exchange,ATT,CNSX:ATT
Abba Medix Group Inc.,Canadian Securities Exchange,ABA,CNSX:ABA
Acana Capital Corp.  ,Canadian Securities Exchange,ACM,CNSX:ACM
Advantex Marketing International Inc.,Canadian Securities Exchange,ADX,CNSX:ADX
Affinor Growers Inc. ,Canadian Securities Exchange,AFI,CNSX:AFI
Aida Minerals Corp. ,Canadian Securities Exchange,AMC,CNSX:AMC
Alchemist Mining Inc.,Canadian Securities Exchange,AMS,CNSX:AMS
Alexandra Capital Corp. ,Canadian Securities Exchange,AXC,CNSX:AXC
Alibaba Innovations Corp. ,Canadian Securities Exchange,ABJ,CNSX:ABJ
Alliance Growers Corp.,Canadian Securities Exchange,ACG,CNSX:ACG
Alta Vista Ventures Ltd.,Canadian Securities Exchange,AVV,CNSX:AVV
American Potash Corp.,Canadian Securities Exchange,AMP,CNSX:AMP
Ansar Financial and Development Corporation ,Canadian Securities Exchange,AFD,CNSX:AFD
APAC Resources Inc.,Canadian Securities Exchange,APG,CNSX:APG
Appia Energy Corp. ,Canadian Securities Exchange,API,CNSX:API
Arbitrage Exploration Inc. ,Canadian Securities Exchange,AEA,CNSX:AEA
Arctic Glacier Income Fund ,Canadian Securities Exchange,AG.UN,CNSX:AG.UN
Arcturus Growthstar Technologies Inc. ,Canadian Securities Exchange,AGS,CNSX:AGS
Armada Mercantile Ltd. ,Canadian Securities Exchange,ARM,CNSX:ARM
Armadillo Resources Ltd.,Canadian Securities Exchange,ARO,CNSX:ARO
Arrowhead Gold Corp. ,Canadian Securities Exchange,AWH,CNSX:AWH
Asante Gold Corporation,Canadian Securities Exchange,ASE,CNSX:ASE
Asia Bio-Chem Group Corp,Canadian Securities Exchange,ABC,CNSX:ABC
Ateba Resources Inc.,Canadian Securities Exchange,ATR,CNSX:ATR
Atlas Cloud Enterprises Inc.,Canadian Securities Exchange,AKE,CNSX:AKE
Augustine Ventures Inc.,Canadian Securities Exchange,WAW,CNSX:WAW
Aurora Cannabis Inc. ,Canadian Securities Exchange,ACB,CNSX:ACB
Auxellence Health Corporation ,Canadian Securities Exchange,AID,CNSX:AID
Avapecia Life Sciences Corp. ,Canadian Securities Exchange,VVS,CNSX:VVS
Avarone Metals Inc.,Canadian Securities Exchange,AVM,CNSX:AVM
Aydon Income Properties Inc.,Canadian Securities Exchange,AYD,CNSX:AYD
Aylen Capital Inc. ,Canadian Securities Exchange,AYL,CNSX:AYL
BAC Canada Finance Company Commodity Optimizer Principal Protected ,Canadian Securities Exchange,BMQ.DB.A,CNSX:BMQ.DB.A
BacTech Environmental Corp.,Canadian Securities Exchange,BAC,CNSX:BAC
Bama Gold Corp.,Canadian Securities Exchange,BMA,CNSX:BMA
Banro Corporation Series A Pr.,Canadian Securities Exchange,BAA.PR.A,CNSX:BAA.PR.A
Barclays S&P 500 Index Linked Booster Notes,Canadian Securities Exchange,BBE.DB.A,CNSX:BBE.DB.A
Beleave Inc. ,Canadian Securities Exchange,BE,CNSX:BE
Berkley Renewables Inc.,Canadian Securities Exchange,BKS,CNSX:BKS
Big Rock Labs Inc. ,Canadian Securities Exchange,BLA,CNSX:BLA
Big Wind Capital Inc. ,Canadian Securities Exchange,BWC,CNSX:BWC
BioMark Diagnostics Inc.,Canadian Securities Exchange,BUX,CNSX:BUX
BIOSENTA Inc. ,Canadian Securities Exchange,ZRO,CNSX:ZRO
Bird River Resources Inc. ,Canadian Securities Exchange,BDR,CNSX:BDR
